Route_ID,START_LAT,START_LONG,END_LAT,END_LONG,Day,Time,Time_Taken
316,-37.86703,145.09159,-37.82404,145.06435,Monday,7:0,13 mins
317,-37.86703,145.09159,-37.82404,145.06435,Monday,12:0,14 mins
318,-37.86703,145.09159,-37.82404,145.06435,Monday,18:0,15 mins
319,-37.86703,145.09159,-37.82404,145.06435,Friday,7:0,13 mins
320,-37.86703,145.09159,-37.82404,145.06435,Friday,12:0,14 mins
321,-37.86703,145.09159,-37.82404,145.06435,Friday,18:0,16 mins
322,-37.86703,145.09159,-37.82404,145.06435,Saturday,7:0,11 mins
323,-37.86703,145.09159,-37.82404,145.06435,Saturday,12:0,15 mins
324,-37.86703,145.09159,-37.82404,145.06435,Saturday,18:0,14 mins
325,-37.86703,145.09159,-37.82374,145.06417,Monday,7:0,13 mins
326,-37.86703,145.09159,-37.82374,145.06417,Monday,12:0,13 mins
327,-37.86703,145.09159,-37.82374,145.06417,Monday,18:0,15 mins
328,-37.86703,145.09159,-37.82374,145.06417,Friday,7:0,13 mins
329,-37.86703,145.09159,-37.82374,145.06417,Friday,12:0,14 mins
330,-37.86703,145.09159,-37.82374,145.06417,Friday,18:0,16 mins
331,-37.86703,145.09159,-37.82374,145.06417,Saturday,7:0,11 mins
332,-37.86703,145.09159,-37.82374,145.06417,Saturday,12:0,15 mins
333,-37.86703,145.09159,-37.82374,145.06417,Saturday,18:0,14 mins
334,-37.86703,145.09159,-37.82778,145.09885,Monday,7:0,9 mins
335,-37.86703,145.09159,-37.82778,145.09885,Monday,12:0,9 mins
336,-37.86703,145.09159,-37.82778,145.09885,Monday,18:0,10 mins
337,-37.86703,145.09159,-37.82778,145.09885,Friday,7:0,9 mins
338,-37.86703,145.09159,-37.82778,145.09885,Friday,12:0,9 mins
339,-37.86703,145.09159,-37.82778,145.09885,Friday,18:0,11 mins
340,-37.86703,145.09159,-37.82778,145.09885,Saturday,7:0,7 mins
341,-37.86703,145.09159,-37.82778,145.09885,Saturday,12:0,10 mins
342,-37.86703,145.09159,-37.82778,145.09885,Saturday,18:0,9 mins
343,-37.86703,145.09159,-37.82804,145.09858,Monday,7:0,8 mins
344,-37.86703,145.09159,-37.82804,145.09858,Monday,12:0,9 mins
345,-37.86703,145.09159,-37.82804,145.09858,Monday,18:0,10 mins
346,-37.86703,145.09159,-37.82804,145.09858,Friday,7:0,9 mins
347,-37.86703,145.09159,-37.82804,145.09858,Friday,12:0,9 mins
348,-37.86703,145.09159,-37.82804,145.09858,Friday,18:0,10 mins
349,-37.86703,145.09159,-37.82804,145.09858,Saturday,7:0,8 mins
350,-37.86703,145.09159,-37.82804,145.09858,Saturday,12:0,9 mins
351,-37.86703,145.09159,-37.82804,145.09858,Saturday,18:0,9 mins
352,-37.86703,145.09159,-37.82772,145.0983,Monday,7:0,9 mins
353,-37.86703,145.09159,-37.82772,145.0983,Monday,12:0,9 mins
354,-37.86703,145.09159,-37.82772,145.0983,Monday,18:0,10 mins
355,-37.86703,145.09159,-37.82772,145.0983,Friday,7:0,9 mins
356,-37.86703,145.09159,-37.82772,145.0983,Friday,12:0,9 mins
357,-37.86703,145.09159,-37.82772,145.0983,Friday,18:0,11 mins
358,-37.86703,145.09159,-37.82772,145.0983,Saturday,7:0,7 mins
359,-37.86703,145.09159,-37.82772,145.0983,Saturday,12:0,10 mins
360,-37.86703,145.09159,-37.82772,145.0983,Saturday,18:0,9 mins
361,-37.86703,145.09159,-37.82506,145.078,Monday,7:0,11 mins
362,-37.86703,145.09159,-37.82506,145.078,Monday,12:0,12 mins
363,-37.86703,145.09159,-37.82506,145.078,Monday,18:0,14 mins
